,gid,pid,fgxp,dist,make,season,postseason,away,stadium,temp,humidity,wind-spd,cond,surface,player id,player
2573,4074,666620,FG,41,1,2015,0,1,EverBank Field,73,55,18,Clear,Grass,NN-0200,Nick Novak
2574,4075,666762,FG,37,1,2015,0,0,LP Field,56,39,8,Sunny,Grass,RS-3400,Ryan Succop
2575,4076,666928,FG,30,1,2015,0,0,CenturyLink Field,61,85,5,Cloudy,FieldTurf,SH-0400,Steven Hauschka
2576,4076,667003,FG,50,1,2015,0,0,CenturyLink Field,61,85,5,Cloudy,FieldTurf,SH-0400,Steven Hauschka
2577,4076,667033,FG,43,1,2015,0,0,CenturyLink Field,61,85,5,Cloudy,FieldTurf,SH-0400,Steven Hauschka
2578,4077,667108,FG,36,1,2015,0,1,Lambeau Field,54,35,12,Clear,DD GrassMaster,JL-0207,Josh Lambo
2579,4077,667141,FG,23,1,2015,0,0,Lambeau Field,54,35,12,Clear,DD GrassMaster,MC-3000,Mason Crosby
2580,4077,667216,FG,32,1,2015,0,1,Lambeau Field,54,35,12,Clear,DD GrassMaster,JL-0207,Josh Lambo
2581,4077,667238,FG,28,1,2015,0,0,Lambeau Field,54,35,12,Clear,DD GrassMaster,MC-3000,Mason Crosby
2582,4078,667273,FG,53,1,2015,0,0,Levi's Stadium,69,60,7,Partly Sunny,Grass,PD-0200,Phil Dawson
2583,4078,667287,FG,31,1,2015,0,0,Levi's Stadium,69,60,7,Partly Sunny,Grass,PD-0200,Phil Dawson
2584,4078,667298,FG,22,1,2015,0,1,Levi's Stadium,69,60,7,Partly Sunny,Grass,JT-3950,Justin Tucker
2585,4078,667313,FG,26,1,2015,0,0,Levi's Stadium,69,60,7,Partly Sunny,Grass,PD-0200,Phil Dawson
2586,4078,667323,FG,36,1,2015,0,1,Levi's Stadium,69,60,7,Partly Sunny,Grass,JT-3950,Justin Tucker
2587,4078,667352,FG,42,1,2015,0,0,Levi's Stadium,69,60,7,Partly Sunny,Grass,PD-0200,Phil Dawson
2588,4078,667377,FG,45,0,2015,0,1,Levi's Stadium,69,60,7,Partly Sunny,Grass,JT-3950,Justin Tucker
2589,4079,667464,FG,40,1,2015,0,1,Lucas Oil Stadium,-999,-999,-999,Closed Roof,AstroTurf,SG-0800,Stephen Gostkowski
2590,4079,667508,FG,35,1,2015,0,1,Lucas Oil Stadium,-999,-999,-999,Closed Roof,AstroTurf,SG-0800,Stephen Gostkowski
2591,4080,667702,FG,37,1,2015,0,0,Lincoln Financial Field,44,49,6,Clear,Grass,CS-4250,Caleb Sturgis
2592,4080,667764,FG,39,1,2015,0,0,Lincoln Financial Field,44,49,6,Clear,Grass,CS-4250,Caleb Sturgis
